,title,make,model,variant,price,no specs,mileage,year,fuel,transmission,body type,colour,doors,engine size,CO2,review count,distance,delivery
191,Used Lexus NX for Sale | AA Cars,Lexus,NX,300h 2.5 F-Sport 5dr CVT [Premium Pack/Leather],"£39,450",9,"3,591",2020,Hybrid,Automatic,Suv,White,5,2.5 L,173 g/km,1,9 miles,False
192,Used Lexus RC for Sale | AA Cars,Lexus,RC,300h 2.5 F-Sport 2dr CVT,"£38,795",9,"2,380",2020,Hybrid,Automatic,Coupe,Red,2,2.5 L,145 g/km,,9 miles,False
193,Used Lexus NX for Sale | AA Cars,Lexus,NX,300h 2.5 Takumi 5dr CVT [Pan roof],"£38,737",9,"4,000",2020,Hybrid,Automatic,Suv,Grey,5,2.5 L,137 g/km,1,9 miles,False
194,Used Lexus NX for Sale | AA Cars,Lexus,NX,300h 2.5 F-Sport 5dr CVT [Premium Pack/Leather],"£38,695",9,650,2020,Hybrid,Automatic,Suv,White,5,2.5 L,173 g/km,1,9 miles,False
195,Used Lexus RX for Sale | AA Cars,Lexus,RX,450h 3.5 5dr CVT [Premium pack],"£38,345",9,"6,656",2019,Hybrid,Automatic,Suv,Silver,5,3.5 L,134 g/km,14,9 miles,False
196,Used Lexus NX for Sale | AA Cars,Lexus,NX,"300h 2.5 5dr CVT [8"" Nav]","£36,995",9,"9,000",2020,Hybrid,Automatic,Suv,White,5,2.5 L,137 g/km,1,9 miles,False
197,Used Lexus RX for Sale | AA Cars,Lexus,RX,450h 3.5 Premier 5dr CVT [Sunroof],"£36,395",9,"21,596",2017,Hybrid,Automatic,Suv,Blue,5,3.5 L,127 g/km,14,9 miles,False
198,Used Lexus RC for Sale | AA Cars,Lexus,RC,300h 2.5 F-Sport 2dr CVT,"£35,997",9,"6,000",2020,Hybrid,Automatic,Coupe,Grey,2,2.5 L,114 g/km,,9 miles,False
199,Used Lexus NX for Sale | AA Cars,Lexus,NX,300h 2.5 F-Sport 5dr CVT [Premium Pack/Leather],"£35,990",9,"1,500",2020,Hybrid,Automatic,Suv,Black,5,2.5 L,137 g/km,1,9 miles,False
200,Used Lexus ES for Sale | AA Cars,Lexus,ES,300h 2.5 F-Sport 4dr CVT,"£35,950",9,"1,705",2020,Hybrid,Automatic,Saloon,Silver,4,2.5 L,127 g/km,,9 miles,False
201,Used Lexus RX for Sale | AA Cars,Lexus,RX,450h L 3.5 Luxury 5dr CVT,"£35,875",9,"8,202",2018,Hybrid,Automatic,Suv,Grey,5,3.5 L,134 g/km,14,9 miles,False
202,Used Lexus NX for Sale | AA Cars,Lexus,NX,300h 2.5 F-Sport 5dr CVT [Premium Pack/Leather],"£35,825",9,"4,100",2020,Hybrid,Automatic,Suv,Black,5,2.5 L,137 g/km,1,9 miles,False
203,Used Lexus UX for Sale | AA Cars,Lexus,UX,250h 2.0 Takumi 5dr CVT,"£35,500",9,"3,971",2019,Hybrid,Automatic,Suv,White,5,2.0 L,97 g/km,,9 miles,False
204,Used Lexus UX for Sale | AA Cars,Lexus,UX,250H 2.0 F-Sport 5Dr Cvt [Nav],"£35,000",9,"7,500",2019,Hybrid,Automatic,Suv,Grey,5,2.0 L,97 g/km,,9 miles,False
205,Used Lexus RX for Sale | AA Cars,Lexus,RX,450h 3.5 Luxury 5dr CVT,"£34,450",9,"19,566",2018,Hybrid,Automatic,Suv,Black,5,3.5 L,127 g/km,14,9 miles,False
206,Used Lexus ES for Sale | AA Cars,Lexus,ES,300h 2.5 F-Sport 4dr CVT,"£33,995",9,"9,688",2020,Hybrid,Automatic,Saloon,White,4,2.5 L,127 g/km,,9 miles,False
207,Used Lexus ES for Sale | AA Cars,Lexus,ES,300h 2.5 F-Sport 4dr CVT,"£33,895",9,"8,000",2020,Hybrid,Automatic,Saloon,Grey,4,2.5 L,127 g/km,,9 miles,False
208,Used Lexus RX for Sale | AA Cars,Lexus,RX,450h 3.5 Sport 5dr CVT,"£33,750",9,"11,604",2018,Hybrid,Automatic,Suv,White,5,3.5 L,127 g/km,14,9 miles,False
209,Used Lexus RX for Sale | AA Cars,Lexus,RX,450h 3.5 Luxury 5dr CVT,"£33,650",9,"14,865",2018,Hybrid,Automatic,Suv,Silver,5,3.5 L,127 g/km,14,9 miles,False
210,Used Lexus NX for Sale | AA Cars,Lexus,NX,"300h 2.5 5dr CVT [8"" Nav]","£33,302",9,"10,000",2020,Hybrid,Automatic,Suv,Grey,5,2.5 L,137 g/km,1,9 miles,False
211,Used Lexus ES for Sale | AA Cars,Lexus,ES,300h 2.5 F-Sport 4dr CVT,"£32,000",9,"7,000",2019,Hybrid,Automatic,Saloon,Blue,4,2.5 L,106 g/km,,9 miles,False
212,Used Lexus RX for Sale | AA Cars,Lexus,RX,450h 3.5 Sport 5dr CVT,"£31,995",9,"20,000",2018,Hybrid,Automatic,Suv,Silver,5,3.5 L,127 g/km,14,9 miles,False
213,Used Lexus ES for Sale | AA Cars,Lexus,ES,300h 2.5 4dr CVT,"£31,867",9,"11,000",2020,Hybrid,Automatic,Saloon,Grey,4,2.5 L,125 g/km,,9 miles,False
214,Used Jaguar E Pace for Sale | AA Cars,Jaguar,E Pace,2.0d [180] R-Dynamic SE 5dr Auto,"£30,995",9,"11,600",2019,Diesel,Automatic,Suv,Red,5,2.0 L,158 g/km,,9 miles,False
215,Used Lexus NX for Sale | AA Cars,Lexus,NX,"300h 2.5 5dr CVT [8"" Nav]","£30,595",9,"11,200",2019,Hybrid,Automatic,Suv,Black,5,2.5 L,137 g/km,1,9 miles,False
